"departure_id","destination_id"
5453,5463
30,179
268,248
97,310
30,232
134,301
179,252
169,270
30,212
263,37
179,140
228,30
194,138
317,"NULL"
228,67
5469,179
7707,30
310,5613
134,93
30,212
"NULL","NULL"
30,138
134,93
170,181
169,317
97,6036
169,"NULL"
128,228
6839,349
134,301
268,248
6839,179
97,310
5453,5463
279,73
228,58
178,100
97,179
84,228
134,310
2141,"NULL"
30,138
30,131
30,228
179,30
130,67
30,212
134,30
8316,6513
97,5989
179,228
30,212
179,97
2196,100
2141,"NULL"
179,7719
5469,179
6036,315
30,228
97,5989
2141,"NULL"
30,179
130,67
134,310
179,7719
134,43
178,84
310,5613
2141,"NULL"
104,169
6036,315
179,30
330,30
"NULL","NULL"
232,121
169,317
5890,310
134,310
243,107
134,30
30,203
134,93
166,313
228,209
178,100
30,131
179,7719
194,138
30,228
228,30
194,209
179,30
"NULL","NULL"
"NULL",84
228,58
243,107
310,5613
134,30
232,30
5469,179
30,228
30,228
"NULL",310
"NULL",228
178,84
134,69
84,228
30,134
203,310
207,30
73,6088
317,"NULL"
169,183
194,101
134,93
178,186
228,"NULL"
30,209
228,25
163,194
282,97
228,25
134,301
228,"NULL"
178,186
134,279
30,179
5890,310
228,"NULL"
7750,97
228,25
179,140
228,"NULL"
203,310
179,228
279,183
178,186
138,175
243,107
228,25
134,179
43,310
169,317
"NULL","NULL"
228,"NULL"
"NULL",310
380,97
113,229
43,73
179,2139
7750,97
113,229
228,"NULL"
169,"NULL"
30,228
315,134
134,183
30,212
120,134
279,232
6088,73
310,97
310,97
228,"NULL"
43,73
228,209
30,97
380,246
179,140
97,310
228,58
228,"NULL"
30,351
317,134
30,228
213,30
30,134
228,"NULL"
179,134
134,209
6839,349
138,97
228,"NULL"
175,203
179,30
310,97
43,310
243,107
113,229
134,69
2139,179
194,212
0,228
268,246
6088,73
134,93
228,179
"NULL","NULL"
228,"NULL"
315,134
330,30
380,131
6839,349
228,"NULL"
178,228
169,25
179,134
30,131
338,7750
212,194
228,53
"NULL",7307
86,30
5469,179
97,183
86,30
134,279
178,228
30,203
30,293
228,25
228,"NULL"
86,368
"NULL",7307
97,70
317,"NULL"
380,194
38,250
194,138
310,203
194,179
30,194
246,7
228,30
30,134
310,97
81,97
228,179
268,246
38,250
178,228
163,315
380,194
228,"NULL"
134,194
228,25
73,6088
175,5463
228,"NULL"
"NULL",310
228,30
30,203
5463,228
175,5463
228,25
381,"NULL"
246,7
134,229
228,"NULL"
228,25
30,100
253,134
"NULL",7324
30,228
73,6088
30,194
34,181
228,"NULL"
100,93
61,5463
232,30
317,"NULL"
282,84
134,229
380,194
381,"NULL"
228,"NULL"
228,25
134,279
97,183
30,169
134,43
30,134
228,37
317,"NULL"
228,"NULL"
134,229
181,310
5469,179
228,25
178,84
228,"NULL"
339,138
134,301
228,7061
5463,228
169,100
61,5463
317,"NULL"
30,134
30,228
381,"NULL"
268,246
380,69
169,6036
100,93
134,229
152,310
30,209
317,"NULL"
30,32
351,7305
5440,5463
30,134
263,209
228,"NULL"
317,"NULL"
61,5463
30,228
228,138
169,25
97,179
178,1
134,30
252,3105
246,134
97,70
97,100
134,229
228,37
317,"NULL"
380,138
152,310
138,270
100,93
228,179
229,170
43,73
212,142
6088,73
97,100
317,"NULL"
5453,5463
138,44
30,212
380,138
228,25
178,179
317,"NULL"
134,30
97,100
67,179
30,222
351,120
134,315
310,268
351,7324
317,"NULL"
30,131
86,"NULL"
194,110
134,30
30,24
228,211
84,100
228,212
58,134
317,"NULL"
169,100
228,7721
207,293
5469,179
228,138
97,100
228,30
228,5613
140,6036
268,246
7711,228
317,"NULL"
97,100
351,7324
30,134
317,"NULL"
310,268
134,30
30,131
228,179
6036,8772
86,"NULL"
228,81
317,"NULL"
315,1
97,70
211,166
317,"NULL"
169,100
228,163
75,"NULL"
228,25
315,212
97,100
317,"NULL"
30,228
5469,179
175,134
5453,5463
44,30
175,30
228,7721
