departure_id,departure_radius,destination_id,destination_radius,search_date,search_date_range
5453,0,5463,0,NULL,0
30,0,179,0,NULL,0
268,50,248,50,"2012-05-10",0
97,0,310,0,NULL,0
30,0,232,0,NULL,0
134,0,301,10,NULL,0
179,0,252,0,NULL,0
169,10,270,10,NULL,0
30,0,212,0,NULL,0
263,50,37,0,NULL,0
179,0,140,0,NULL,0
228,0,30,0,NULL,0
194,0,138,0,NULL,0
317,0,NULL,0,NULL,0
228,0,67,0,NULL,0
5469,0,179,0,NULL,0
7707,50,30,50,NULL,0
310,0,5613,0,NULL,4
134,0,93,0,NULL,0
30,0,212,0,NULL,0
NULL,0,NULL,0,NULL,0
30,0,138,0,NULL,0
134,0,93,0,NULL,0
170,0,181,0,NULL,0
169,0,317,0,NULL,0
97,0,6036,0,NULL,0
169,0,NULL,0,NULL,0
128,0,228,0,NULL,0
6839,0,349,50,NULL,0
134,0,301,20,NULL,0
268,50,248,50,"2012-06-10",0
6839,0,179,30,"2012-05-31",0
97,0,310,0,NULL,0
5453,0,5463,0,NULL,0
279,0,73,0,"2012-06-14",0
228,0,58,30,NULL,0
178,0,100,0,NULL,0
97,0,179,0,NULL,0
84,0,228,0,NULL,0
134,0,310,0,NULL,0
2141,0,NULL,0,NULL,0
30,0,138,0,NULL,0
30,0,131,0,NULL,0
30,0,228,0,NULL,0
179,0,30,0,"2012-07-13",0
130,10,67,10,NULL,0
30,0,212,0,NULL,0
134,0,30,0,NULL,0
8316,0,6513,0,NULL,0
97,0,5989,0,NULL,0
179,0,228,0,"2012-06-10",0
30,0,212,0,NULL,0
179,20,97,0,NULL,0
2196,0,100,0,NULL,0
2141,0,NULL,0,NULL,0
179,50,7719,50,NULL,0
5469,0,179,0,NULL,0
6036,0,315,20,NULL,0
30,0,228,0,NULL,0
97,0,5989,0,NULL,0
2141,0,NULL,0,NULL,0
30,0,179,0,NULL,0
130,10,67,10,NULL,0
134,0,310,0,NULL,0
179,50,7719,50,NULL,0
134,0,43,0,NULL,0
178,0,84,50,NULL,1
310,0,5613,0,NULL,3
2141,0,NULL,0,NULL,NULL
104,0,169,0,NULL,0
6036,0,315,0,NULL,0
179,0,30,0,"2012-07-13",0
330,0,30,0,NULL,0
NULL,0,NULL,0,NULL,0
232,0,121,0,NULL,0
169,0,317,0,NULL,0
5890,50,310,50,"2012-06-10",0
134,0,310,0,NULL,0
243,20,107,10,NULL,0
134,0,30,0,NULL,0
30,0,203,0,NULL,0
134,0,93,0,NULL,0
166,0,313,0,NULL,0
228,50,209,50,NULL,0
178,0,100,0,NULL,0
30,0,131,0,NULL,0
179,50,7719,50,NULL,0
194,0,138,0,NULL,0
30,0,228,0,NULL,0
228,0,30,0,NULL,0
194,0,209,0,NULL,0
179,0,30,0,"2012-07-13",0
NULL,0,NULL,0,NULL,1
NULL,0,84,0,NULL,1
228,0,58,0,NULL,1
243,20,107,0,NULL,0
310,0,5613,0,NULL,0
134,0,30,0,NULL,0
232,0,30,0,NULL,0
5469,0,179,0,NULL,0
30,0,228,0,NULL,0
30,0,228,0,NULL,0
NULL,0,310,0,NULL,0
NULL,0,228,0,NULL,NULL
